时间,2月6日,,,,,,,,,
省份,云南省,,,,,,,,,
累计确诊病例,135,重症,16,危重,2,死亡,0,出院,7,
确诊病例中,昆明市,40,西双版纳州,15,玉溪市,13,保山市,9,昭通市,10,大理州,11,丽江市,7,曲靖市,10,红河州,5,普洱市,4,德宏州,5,楚雄州,4,文山州,1,临沧市,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,红河州,1,大理州,1,曲靖市,1,,,,
累计追踪密切接触者,3281,解除医学观察,2781,正在接受医学观察,3281,疑似病例,123,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158092775035023431,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1657822234105773127&wfr=spider&for=pc,,,,,,,,,
