时间,2月6日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,344,重症,0,危重,19,死亡,1,出院,37,
确诊病例中,成都市,102,南充市,30,广安市,27,绵阳市,19,内江市,17,自贡市,9,达州市,23,巴中市,20,攀枝花市,11,德阳市,12,宜宾市,9,泸州市,13,遂宁市,5,雅安市,6,甘孜州,17,凉山州,7,广元市,6,乐山市,3,眉山市,5,资阳市,2,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,成都市,14,绵阳市,2,广安市,1,遂宁市,2,达州市,4,眉山市,1,,,,,
累计追踪密切接触者,7226,解除医学观察,2612,正在接受医学观察,7226,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2020/2/7/5517198d1504456bb786bdcaebb9ca4a.shtml,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1657508842790022068&wfr=spider&for=pc,,,,,,,,,
