时间,2月6日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,772,重症,95,危重,57,死亡,0,出院,91,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,190,衡阳市,43,株洲市,46,湘潭市,25,邵阳市,83,岳阳市,107,常德市,64,张家界市,5,益阳市,43,郴州市,29,永州市,38,怀化市,38,娄底市,53,湘西自治州,8,
重症病例中,长沙市,19,衡阳市,2,株洲市,4,湘潭市,2,邵阳市,5,岳阳市,2,常德市,5,益阳市,5,永州市,3,怀化市,4,娄底市,5,湘西自治州,1,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,长沙市,10,衡阳市,8,株洲市,7,湘潭市,7,邵阳市,9,岳阳市,4,常德市,14,张家界市,2,益阳市,6,郴州市,6,永州市,8,怀化市,7,娄底市,4,湘西自治州,1,
累计追踪密切接触者,19031,解除医学观察,9141,正在接受医学观察,9890,疑似病例,-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1657838135942258319&wfr=spider&for=pc,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
