时间,2月6日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,227,重症,24,危重,-1,死亡,3,出院,7,,,,,,,,,,,,,
确诊病例中,哈尔滨市,82,齐齐哈尔市,26,牡丹江市,10,佳木斯市,12,大庆市,13,鸡西市,21,双鸭山市,20,七台河市,9,鹤岗市,2,黑河市,1,绥化市,29,大兴安岭地区,2,
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,2,大庆市,1,,,,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,6,双鸭山市,1,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,6323,解除医学观察,2649,正在接受医学观察,3247,疑似病例,222,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7760/navid/42/id/3,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



