时间,2月6日,,,,,,,,,
省份,浙江省,,,,,,,,,
累计确诊病例,1006,重症,72,危重,21,死亡,0,出院,98,
确诊病例中,杭州市,156,宁波市,136,温州市,421,湖州市,9,嘉兴市,35,绍兴市,34,金华市,48,衢州市,15,舟山市,7,台州市,129,丽水市,16,
重症病例中,杭州市,12,宁波市,8,温州市,30,湖州市,1,嘉兴市,2,绍兴市,6,金华市,3,衢州市,2,舟山市,1,台州市,6,丽水市,1,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,杭州市,16,宁波市,9,温州市,36,湖州市,1,嘉兴市,1,绍兴市,3,金华市,9,衢州市,2,舟山市,4,台州市,14,丽水市,3,
累计追踪密切接触者,22270,解除医学观察,7441,正在接受医学观察,13333,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1657843924975053330&wfr=spider&for=pc,,,,,,,,,
原始数据链接2,,,,,,,,,,
