时间,2月6日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,22112,重症,3161,危重,841,死亡,618,出院,817,
确诊病例中,武汉市,11618,孝感市,2141,黄冈市,1897,随州市,915,荆州市,885,襄阳市,838,黄石市,635,宜昌市,610,荆门市,553,鄂州市,471,咸宁市,443,十堰市,395,仙桃市,307,天门市,163,恩施州,157,潜江市,74,神农架林区,10
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,武汉市,478,黄石市,2,襄阳市,3,宜昌市,7,荆州市,10,荆门市,17,鄂州市,18,孝感市,25,黄冈市,32,咸宁市,1,随州市,9,仙桃市,5,天门市,10,潜江市,1
出院病例中,
累计追踪密切接触者,101599,解除医学观察,-1,正在接受医学观察,64057,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://www.thepaper.cn/newsDetail_forward_5839147,,,,,,,,
原始数据链接2,,,,,,,,,,
