时间,2月1日,,,,,,,,,,,,,,,
省份,贵州省,,,,,,,,,,,,,,,
累计确诊病例,38,重症,6,危重,2,死亡,0,出院,2,,,,,,,
确诊病例中,贵阳市,6,遵义市,5,六盘水市,8,安顺市,2,毕节市,4,铜仁市,3,黔东南州,4,黔南州,5,黔西南州,1,其他区,23
重症病例中,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,
出院病例中,贵阳市,1,,,,,,,
累计追踪密切接触者,567,解除医学观察,50,正在接受医学观察,502,疑似病例,65,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
原始数据链接1,http://www.gzhfpc.gov.cn/xwzx_500663/zwyw/202002/t20200202_46640814.html,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
