时间,2月1日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,7153,重症,956,危重,338,死亡,249,出院,166,
确诊病例中,武汉市,3215,黄石市,209,十堰市,177,襄阳市,347,宜昌市,276,荆州市,287,荆门市,251,鄂州市,227,孝感市,628,黄冈市,726,咸宁市,206,随州市,304,恩施州,87,仙桃市,97,天门市,82,潜江市,27,神农架林区,7,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,武汉市,192,黄石市,2,宜昌市,1,荆州市,4,荆门市,5,鄂州市,9,孝感市,12,黄冈市,14,随州,1,仙桃市,1,天门市,7,潜江市,1,
出院病例中,武汉市,106,黄冈市,17,孝感市,2,荆州市,2,荆门,1,黄石,1,咸宁市,1,恩施州,1,神农架,2,待明确地区,32,
累计追踪密切接触者,41075,解除医学观察,0,正在接受医学观察,36838,疑似病例,0,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200201_2017100.shtml,,,,,,,,,
原始数据链接2,http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200131_2016680.shtml,,,,,,,,,
原始数据链接2,https://ncov.dxy.cn/ncovh5/view/pneumonia?scene=2&clicktime=1579582238&enterid=1579582238&from=timeline&isappinstalled=0,,,,,,,,,
