时间,2月1日,,,,,,,,,,,,,,,
省份,广东省,,,,,,,,,,,,,,,
累计确诊病例,604,重症,-1,危重,-1,死亡,-1,出院,-1,,,,,,,
确诊病例中,广州市,175,深圳市,196,珠海市,41,汕头市,14,佛山市,39,韶关市,5,河源市,1,梅州市,6,惠州市,23,汕尾市,4,东莞市,27,中山市,21,江门市,3,阳江市,10,湛江市,14,茂名市,3,肇庆市,7,清远市,6,揭阳市,6,潮州市,3
重症病例中,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,
累计追踪密切接触者,-1,解除医学观察,-1,正在接受医学观察,2418,疑似病例,-1,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2881518.html,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,

