时间,2月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,海南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,64,重症,9,危重,0,死亡,1,出院,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,海口市,11,三亚市,17,儋州市,6,琼海市,6,万宁市,8,东方市,1,澄迈县,2,临高县,4,陵水县,5,琼中县,1,定安县,1,昌江县,1,乐东县,1
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,1643,解除医学观察,616,正在接受医学观察,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1657388674220721705&wfr=spider&for=pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,http://wst.hainan.gov.cn/yqfk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
