时间,2月1日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,231,重症,0,危重,5,死亡,1,出院,3,
确诊病例中,成都市,73,南充市,23,广安市,20,绵阳市,14,内江市,11,自贡市,9,达州市,9,巴中市,8,攀枝花市,9,德阳市,10,宜宾市,7,泸州市,6,遂宁市,5,雅安市,5,甘孜州,5,凉山州,5,广元市,5,乐山市,2,眉山市,2,资阳市,2,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,,,,,,,,,,,
累计追踪密切接触者,5038,解除医学观察,334,正在接受医学观察,5038,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://m.mnw.cn/news/shehui/2245528.html,,,,,,,,,
原始数据链接2,http://wsjkw.sc.gov.cn/scwsjkw/gzbd01/2020/2/2/e75f44fbaf404c8f8c81d5e003572256.shtml,,,,,,,,,
