时间,2月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,463,重症,56,危重,0,死亡,0,出院,8,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,112,衡阳市,30,株洲市,25,湘潭市,16,邵阳市,49,岳阳市,53,常德市,42,张家界市,3,益阳市,27,郴州市,18,永州市,22,怀化市,31,娄底市,29,湘西自治州,6
重症病例中,长沙市,9,株洲市,6,湘潭市,1,邵阳市,7,岳阳市,2,常德市,4,益阳市,3,永州市,2,怀化市,8,娄底市,1,湘西自治州,1,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,9599,解除医学观察,1353,正在接受医学观察,8246,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,https://www.henan100.com/news/2020/904700.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
