时间,2月1日,,,,,,,,,,,,,,,,,,,,,
省份,河北,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,104,重症,9,危重,0,死亡,1,出院,3,,,,,,,,,,,,,
确诊病例中,沧州市,19,石家庄市,13,廊坊市,11,保定市,13,张家口市,9,邯郸市,11,邢台市,10,衡水市,4,唐山市,11,承德市,2,秦皇岛,1
重症病例中,沧州市,1,石家庄市,2,邢台市,2,邯郸市,1,廊坊市,1,张家口市,1,承德,1,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,沧州市,1,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,3132,解除医学观察,176,正在接受医学观察,2540,疑似病例,104,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://www.hebwsjs.gov.cn/index.do?id=396271&templet=content&cid=14,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,
