时间,2月4日,,,,,,,,,
省份,安徽省,,,,,,,,,
累计确诊病例,530,重症,0,危重,5,死亡,0,出院,20,
确诊病例中,合肥,93,淮北,14,亳州,58,宿州,24,蚌埠,48,阜阳,84,淮南,12,滁州,11,六安,34,马鞍山,30,芜湖,23,宣城,4,铜陵,19,池州,11,安庆,56,黄山,9
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,合肥,5,亳州,2例,阜阳,3,滁州,2,六安,1,芜湖,1,宣城,1,铜陵,1,池州,1,安庆,3,
累计追踪密切接触者,11604,解除医学观察,-1,正在接受医学观察,-1,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wjw.ah.gov.cn/news_details_54548.html,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
备注：,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，重症、危重、死亡、出院等没有详情的数据时该行不可删除,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,
5. 各自治区、特区用简称代替全称，包括：新疆、西藏、内蒙古、宁夏、广西、香港、澳门,,,,,,,,,,
6. 2020-02-01起，对于没有找到的第3、9行数据，用-1代替空格，包括：重症、危重、死亡、出院、密切接触者、解除医学观察、正在观察、疑似病例人数,,,,,,,,,,
