时间,2月4日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,190,重症,21,危重,-1,死亡,2,出院,4,,,,,,,,,,,,,
确诊病例中,哈尔滨市,73,齐齐哈尔市,20,牡丹江市,9,佳木斯市,11,大庆市,11,鸡西市,12,双鸭山市,16,七台河市,9,鹤岗市,2,黑河市,1,绥化市,24,大兴安岭地区,2,
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,2,,,,,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,4,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,5609,解除医学观察,2206,正在接受医学观察,3042,疑似病例,184,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7759/navid/42/id/3,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



