时间,2月4日,,,,,,,,,
省份,浙江省,,,,,,,,,
累计确诊病例,895,重症,65,危重,16,死亡,0,出院,63,
确诊病例中,杭州市,141,宁波市,120,温州市,364,湖州市,9,嘉兴市,27,绍兴市,30,金华市,44,衢州市,15,舟山市,7,台州市,122,丽水市,16,
重症病例中,杭州市,12,宁波市,7,温州市,22,嘉兴市,2,绍兴市,7,金华市,3,衢州市,2,舟山市,1,台州市,7,丽水市,2,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,杭州市,7,宁波市,4,温州市,28,湖州市,1,绍兴市,3,金华市,6,舟山市,2,台州市,11,丽水市,1,
累计追踪密切接触者,16360,解除医学观察,3955,正在接受医学观察,11886,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAFE4D1E25EAF5358370B8DA73C6194ACD8B5A233C1B66BB04B,,,,,,,,,
原始数据链接2,,,,,,,,,,
