时间,2月4日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,661,重症,77,危重,57,死亡,0,出院,35,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,164,衡阳市,39,株洲市,38,湘潭市,23,邵阳市,68,岳阳市,89,常德市,56,张家界市,3,益阳市,40,郴州市,24,永州市,30,怀化市,35,娄底市,45,湘西自治州,7
重症病例中,长沙市,17,衡阳市,2,株洲市,2,湘潭市,3,邵阳市,10,岳阳市,4,常德市,3,益阳市,5,永州市,2,怀化市,6,娄底市,2,湘西自治州,1,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,长沙市,6,衡阳市,5,株洲市,2,湘潭市,4,邵阳市,2,常德市,3,益阳市,1,郴州市,1,永州市,5,怀化市,2,娄底市,3,湘西自治州,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,14840,解除医学观察,4955,正在接受医学观察,9885,疑似病例,-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200205_11170191.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
