时间,2月8日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,386,重症,0,危重,21,死亡,1,出院,60,
确诊病例中,成都市,120,南充市,32,广安市,28,绵阳市,20,内江市,17,自贡市,9,达州市,25,巴中市,21,攀枝花市,13,德阳市,16,宜宾市,9,泸州市,16,遂宁市,8,雅安市,6,甘孜州,17,凉山州,7,广元市,6,乐山市,3,眉山市,7,资阳市,3,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,成都市,24,绵阳市,3,广安市,3,泸州市,2,遂宁市,2,达州市,5,眉山市,1,自贡市,2,攀枝花市,1,内江市,2,雅安市,1,巴中市,1,
累计追踪密切接触者,7207,解除医学观察,4253,正在接受医学观察,7298,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sc.gov.cn/scwsjkw/gzbd01/2020/2/9/5c930046a2634b90b5ac0a56febe48fa.shtml,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1657508842790022068&wfr=spider&for=pc,,,,,,,,,
