时间,2月8日,,,,,,,,,
省份,江苏省,,,,,,,,,
累计确诊病例,468,重症,5,危重,3,死亡,0,出院,51,
确诊病例中,南京市,71,无锡市,38,徐州市,56,常州市,31,苏州市,75,南通市,32,连云港市,32,淮安市,44,盐城市,17,扬州市,18,镇江市,12,泰州市,30,宿迁市,12
重症病例中,南京市,1,徐州市,1,苏州市,1,南通市,1,盐城市,1,,,,,,,,
危重病例中,徐州市,1,连云港市,1,淮安市,1,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,南京市,20,无锡市,3,徐州市,3,常州市,5,苏州市,4,南通市,2,连云港市,2,淮安市,2,盐城市,3,扬州市,2,镇江市,1,泰州市,4
累计追踪密切接触者,9324,解除医学观察,4326,正在接受医学观察,4998,疑似病例,-1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://politics.gmw.cn/2020-02/09/content_33537487.htm,,,,,,,,,
原始数据链接2,,,,,,,,,,
