时间,2月8日,,,,,,,,,
省份,浙江省,,,,,,,,,
累计确诊病例,1075,重症,77,危重,26,死亡,0,出院,173,
确诊病例中,杭州市,165,宁波市,146,温州市,448,湖州市,10,嘉兴市,38,绍兴市,38,金华市,53,衢州市,15,舟山市,7,台州市,138,丽水市,17,
重症病例中,杭州市,15,宁波市,9,温州市,27,湖州市,1,嘉兴市,5,绍兴市,5,金华市,5,舟山市,1,台州市,8,丽水市,1,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,杭州市,29,宁波市,13,温州市,70,湖州市,1,嘉兴市,1,绍兴市,8,金华市,13,衢州市,3,舟山市,5,台州市,25,丽水市,5,
累计追踪密切接触者,28033,解除医学观察,11788,正在接受医学观察,13633,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1658019764010981053&wfr=spider&for=pc,,,,,,,,,
原始数据链接2,,,,,,,,,,
