时间,2月8日,,,,,,,,,
省份,山东省,,,,,,,,,
累计确诊病例,435,重症,26,危重,6,死亡,1,出院,50,
确诊病例中,济南市,42,青岛市,47,淄博市,16,枣庄市,21,烟台市,36,潍坊市,34,济宁市,39,泰安市,23,威海市,34,日照市,15,临沂市,40,德州市,30,聊城市,33,滨州市,11,菏泽市,14,
重症病例中,济南市,3,青岛市,3,临淄市,3,枣庄市,1,烟台市,2,潍坊市,1,济宁市,1,威海市,1,临沂市,7,德州市,4,
危重病例中,枣庄市,1,泰安市,1,临沂市,1,德州市,2,菏泽市,1,
死亡病例中,青岛市,1,,,,,,,,
出院病例中,济南市,3,青岛市,7,淄博市,1,烟台市,2,潍坊市,1,济宁市,8,泰安市,1,威海市,8,日照市,2,临沂市,4,德州市,4,聊城市,2,滨州市,4,菏泽市,3,
累计追踪密切接触者,12422,解除医学观察,7910,正在接受医学观察,4294,疑似病例,88,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200209_2517459.html,,,,,,,,,
原始数据链接2,,,,,,,,,,
