时间,2月8日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,307,重症,45,危重,-1,死亡,6,出院,13,,,,,,,,,,,,,
确诊病例中,哈尔滨市,114,绥化市,35,双鸭山市,38,鸡西市,34,齐齐哈尔市,27,佳木斯市,13,大庆市,13,七台河市,13,牡丹江市,12,鹤岗市,4,大兴安岭地区,2,黑河市,2
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,3,大庆市,1,双鸭山市,2,,,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,9,双鸭山市,1,佳木斯市,1,绥化市,1,牡丹江市,1,,,,,,,,,,,,,,,,
累计追踪密切接触者,8704,解除医学观察,4465,正在接受医学观察,4239,疑似病例,258,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://news.cnr.cn/native/gd/20200209/t20200209_524966457.shtml,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



