时间,1月29日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,142,重症,0,危重,2,死亡,1,出院,1,
确诊病例中,成都市,59,绵阳市,9,南充市,9,广安市,9,自贡市,7,达州市,6,泸州市,5,宜宾市,5,甘孜州,5,遂宁市,4,内江市,4,巴中市,4,德阳市,3,广元市,3,乐山市,2,雅安市,2,眉山市,2,资阳市,2,凉山州,2,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,成都市,1,,,,,,,,
累计追踪密切接触者,2931,解除医学观察,103,正在接受医学观察,2828,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sc.gov.cn/scwsjkw/gzbd01/2020/1/30/fb5fa499f9b84d34a664f7b98ca2fdeb.shtml,,,,,,,,,
原始数据链接2,https://m.weibo.cn/status/4466191186242379?,,,,,,,,,
原始数据链接3,https://m.weibo.cn/status/4466038202767776?,,,,,,,,,
