时间,2月11日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,378,重症,63,危重,-1,死亡,8,出院,28,,,,,,,,,,,,,,,
确诊病例中,哈尔滨市,150,绥化市,43,鸡西市,43,双鸭山市,39,齐齐哈尔市,33,佳木斯市,15,七台河市,15,大庆市,15,牡丹江市,12,鹤岗市,5,黑河市,6,大兴安岭地区,2,,,,,,
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,4,大庆市,1,双鸭山市,2,齐齐哈尔市,1,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,15,双鸭山市,1,佳木斯市,5,绥化市,3,牡丹江市,1,鹤岗市,1,鸡西市,1,齐齐哈尔市,1,,,,,,,,,,,,
累计追踪密切接触者,12736,解除医学观察,8024,正在接受医学观察,4606,疑似病例,171,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7772/navid/42/id/3,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,
