时间,2月11日,,,,,,,,,,,,,,,,,
省份,福建省,,,,,,,,,,,,,,,,,
累计确诊病例,272,重症,16,危重,8,死亡,0,出院,46,,,,,,,,,
确诊病例中,福州市,64,厦门市,32,漳州市,19,泉州市,43,三明市,13,莆田市,52,南平市,19,龙岩市,6,宁德市,24,,,
重症病例中,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,
出院病例中,福州市,13,厦门市,4,漳州市,3,泉州市,11,三明市,1,莆田市,6,南平市,3,龙岩市,1,宁德市,4,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,-1,解除医学观察,5940,正在接受医学观察,3154,疑似病例,74,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
原始数据链接1,http://www.fj.xinhuanet.com/shidian/2020-02/12/c_1125561971.htm,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,
