时间,2月11日,,,,,,,,,
省份,山东省,,,,,,,,,
累计确诊病例,497,重症,17,危重,9,死亡,1,出院,80,
确诊病例中,济南市,47,青岛市,53,淄博市,20,枣庄市,23,烟台市,43,潍坊市,38,济宁市,42,泰安市,32,威海市,38,日照市,15,临沂市,45,德州市,33,聊城市,38,滨州市,12,菏泽市,18,
重症病例中,济南市,1,青岛市,1,临淄市,2,烟台市,3,潍坊市,1,济宁市,1,威海市,2,临沂市,1,德州市,3,聊城市,1,
危重病例中,淄博市,1,枣庄市,1,泰安市,1,临沂市,3,德州市,3,
死亡病例中,青岛市,1,,,,,,,,
出院病例中,济南市,7,青岛市,12,淄博市,1,枣庄市,3,烟台市,3,潍坊市,4,济宁市,9,泰安市,1,威海市,8,日照市,2,临沂市,10,德州市,6,聊城市,2,滨州市,6,菏泽市,6,
累计追踪密切接触者,13482,解除医学观察,9966,正在接受医学观察,3271,疑似病例,71,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200212_2519821.html,,,,,,,,,
原始数据链接2,,,,,,,,,,
