时间,2月13日,,,,,,,,,
省份,山东省,,,,,,,,,
累计确诊病例,519,重症,16,危重,10,死亡,2,出院,111,
确诊病例中,济南市,47,青岛市,53,淄博市,26,枣庄市,23,烟台市,46,潍坊市,41,济宁市,46,泰安市,32,威海市,38,日照市,15,临沂市,47,德州市,35,聊城市,38,滨州市,12,菏泽市,18,
重症病例中,济南市,1,青岛市,1,淄博市,1,临淄市,2,烟台市,4,潍坊市,2,济宁市,1,威海市,1,临沂市,1,德州市,3,聊城市,1,
危重病例中,淄博市,1,枣庄市,1,潍坊市,1,泰安市,1,威海市,1,临沂市,3,德州市,2,
死亡病例中,青岛市,1,德州市,1,,,,,,
出院病例中,济南市,11,青岛市,15,淄博市,1,枣庄市,4,烟台市,10,潍坊市,6,济宁市,14,泰安市,4,威海市,9,日照市,2,临沂市,13,德州市,6,聊城市,3,滨州市,6,菏泽市,7,
累计追踪密切接触者,14742,解除医学观察,10896,正在接受医学观察,3584,疑似病例,83,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200214_2558366.html,,,,,,,,,
原始数据链接2,,,,,,,,,,
