时间,2月14日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,470,重症,0,危重,17,死亡,1,出院,115,
确诊病例中,成都市,139,南充市,35,广安市,30,绵阳市,22,内江市,22,自贡市,9,达州市,36,巴中市,24,攀枝花市,13,德阳市,17,宜宾市,11,泸州市,19,遂宁市,10,雅安市,7,甘孜州,44,凉山州,11,广元市,6,乐山市,3,眉山市,8,资阳市,3,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,成都市,33,绵阳市,5,广安市,8,泸州市,2,遂宁市,4,广元市,2,宜宾市,6,南充市,5,达州市,5,眉山市,2,自贡市,2,攀枝花市,9,内江市,5,雅安市,2,乐山市,2,巴中市,1,甘孜州,3,资阳市,2,凉山州,4,
累计追踪密切接触者,4907,解除医学观察,11185,正在接受医学观察,4907,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://www.sc.gov.cn/10462/12771/2020/2/14/9a1845b4fcf54bb79fdaed9cdd100d3e.shtml,,,,,,,,,
原始数据链接2,http://www.sc.gov.cn/10462/12771/2020/2/15/ea5077f973e04a71ba7c20424dc24937.shtml,,,,,,,,,
