时间,2月14日,,,,,,,,,
省份,山东省,,,,,,,,,
累计确诊病例,530,重症,17,危重,11,死亡,2,出院,139,
确诊病例中,济南市,47,青岛市,56,淄博市,28,枣庄市,24,烟台市,46,潍坊市,42,济宁市,49,泰安市,32,威海市,38,日照市,15,临沂市,47,德州市,36,聊城市,38,滨州市,14,菏泽市,18,
重症病例中,济南市,1,青岛市,3,淄博市,1,临淄市,2,烟台市,4,潍坊市,1,济宁市,1,威海市,1,临沂市,1,德州市,3,聊城市,1,
危重病例中,淄博市,1,枣庄市,1,潍坊市,2,泰安市,1,威海市,1,临沂市,3,德州市,2,
死亡病例中,青岛市,1,德州市,1,,,,,,
出院病例中,济南市,11,青岛市,19,淄博市,4,枣庄市,4,烟台市,12,潍坊市,7,济宁市,15,泰安市,4,威海市,9,日照市,2,临沂市,25,德州市,7,聊城市,3,滨州市,8,菏泽市,9,
累计追踪密切接触者,15074,解除医学观察,11324,正在接受医学观察,3486,疑似病例,73,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200215_2578289.html,,,,,,,,,
原始数据链接2,,,,,,,,,,
