时间,2月16日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,495,重症,0,危重,15,死亡,3,出院,136,
确诊病例中,成都市,140,南充市,35,广安市,30,绵阳市,22,内江市,22,自贡市,9,达州市,38,巴中市,24,攀枝花市,13,德阳市,17,宜宾市,11,泸州市,19,遂宁市,17,雅安市,7,甘孜州,57,凉山州,13,广元市,6,乐山市,3,眉山市,8,资阳市,3,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,3,,,,,,,,
出院病例中,成都市,53,绵阳市,6,广安市,10,泸州市,3,遂宁市,4,广元市,3,宜宾市,6,南充市,9,达州市,6,眉山市,2,自贡市,2,攀枝花市,10,内江市,5,雅安市,2,乐山市,2,巴中市,3,甘孜州,3,资阳市,2,凉山州,5,
累计追踪密切接触者,3563,解除医学观察,12625,正在接受医学观察,3563,疑似病例,191,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://new.qq.com/omn/20200216/20200216A08N5E00.html,,,,,,,,,
原始数据链接2,http://wsjkw.sc.gov.cn/scwsjkw/gzbd01/2020/2/17/633c60b2216a4ca0ac863411d1b0d7cf.shtml,,,,,,,,,
