时间,2月16日,,,,,,,,,
省份,上海市,,,,,,,,,
累计确诊病例,332,重症,4,危重,14,死亡,1,出院,161,
确诊病例中,其他区,109,浦东,60,静安区,16,闵行区,18,长宁区,13,黄浦区,6,徐汇区,18,虹口区,7,宝山区,21,奉贤区,9,松江区,14,普陀区,11,杨浦区,9,嘉定区,9,青浦区,5,金山区,3,崇明县,4,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,其他区,59,浦东区,33,静安区,9,徐汇区,6,闵行区,11,长宁区,8,奉贤区,1,虹口区,4,宝山区,7,松江区,5,嘉定区,2,普陀区,4,黄浦区,2,杨浦区,3,青浦区,5,金山区,2,
累计追踪密切接触者,-1,解除医学观察,1772,正在接受医学观察,0,疑似病例,126,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sh.gov.cn/xwfb/20200217/0153c763c7cf4f419694f2b9d8a34c4f.html,,,,,,,,,
原始数据链接2,,,,,,,,,,

