时间,2月7日,,,,,,,,,
省份,云南省,,,,,,,,,
累计确诊病例,138,重症,15,危重,3,死亡,0,出院,12,
确诊病例中,昆明市,41,西双版纳州,15,玉溪市,14,保山市,9,昭通市,10,大理州,11,丽江市,7,曲靖市,10,红河州,5,普洱市,4,德宏州,5,楚雄州,4,文山州,1,临沧市,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,红河州,1,大理州,1,曲靖市,1,,,,
累计追踪密切接触者,3099,解除医学观察,3441,正在接受医学观察,3099,疑似病例,144,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://ynswsjkw.yn.gov.cn/wjwWebsite/web/doc/UU158109852614447399,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1657822234105773127&wfr=spider&for=pc,,,,,,,,,
