时间,2月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,803,重症,106,危重,57,死亡,0,出院,119,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,196,衡阳市,43,株洲市,48,湘潭市,28,邵阳市,86,岳阳市,111,常德市,66,张家界市,5,益阳市,44,郴州市,31,永州市,40,怀化市,38,娄底市,59,湘西自治州,8
重症病例中,长沙市,19,衡阳市,3,株洲市,5,湘潭市,2,邵阳市,5,岳阳市,2,常德市,6,益阳市,3,永州市,3,怀化市,3,娄底市,5,湘西自治州,1
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,长沙市,19,衡阳市,11,株洲市,8,湘潭市,7,邵阳市,11,岳阳市,6,常德市,14,张家界市,2,益阳市,6,郴州市,6,永州市,10,怀化市,14,娄底市,4,湘西自治州,1
累计追踪密切接触者,20119,解除医学观察,10778,正在接受医学观察,9341,疑似病例,-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1657838135942258319&wfr=spider&for=pc,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
