时间,2月7日,,,,,,,,,
省份,陕西省,,,,,,,,,
累计确诊病例,195,重症,1,危重,1,死亡,0,出院,17,
确诊病例中,西安市,88,宝鸡市,12,咸阳市,16,铜川市,8,渭南市,9,延安市,8,榆林市,3,汉中市,21,安康市,21,商洛市,7,杨凌示范区,1,韩城市,1,
重症病例中,商洛市,1,,,,,,,,
危重病例中,西安市,1,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,西安市,5,安康市,1,宝鸡市,2,咸阳市,1,铜川市,1,商洛市,1,
累计追踪密切接触者,9077,解除医学观察,3837,正在接受医学观察,9077,疑似病例,321,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://sxwjw.shaanxi.gov.cn/art/2020/2/8/art_9_67873.html,,,,,,,,,
原始数据链接2,http://news.163.com/20/0205/11/F4K9T7I30001899O.html,,,,,,,,,
