时间,2月7日,,,,,,,,,
省份,天津市,,,,,,,,,
累计确诊病例,88,重症,32,危重,5,死亡,1,出院,2,
确诊病例中,河北区,10,河东区,10,河西区,4,和平区,6,南开区,3,宝坻区,27,东丽区,4,西青区,4,红桥区,2,滨海新区,3,宁河区,4,津南区,1,武清区,1,其他区,6,
重症病例中,宝坻区,1,河东区,1,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,红桥区,1,河东区,1,,,,,,
累计追踪密切接触者,621,解除医学观察,82,正在接受医学观察,518,疑似病例,302,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70430.html,,,,,,,,,
原始数据链接2,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70431.html,,,,,,,,,
原始数据链接3,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70435.html,,,,,,,,,
原始数据链接4,http://wsjk.tj.gov.cn/art/2020/2/5/art_87_70535.html,,,,,,,,,
原始数据链接5,http://wsjk.tj.gov.cn/art/2020/2/8/art_87_70655.html,,,,,,,,,

