时间,2月7日,,,,,,,,,
省份,浙江省,,,,,,,,,
累计确诊病例,1048,重症,78,危重,25,死亡,0,出院,127,
确诊病例中,杭州市,162,宁波市,141,温州市,438,湖州市,10,嘉兴市,37,绍兴市,36,金华市,52,衢州市,15,舟山市,7,台州市,133,丽水市,17,
重症病例中,杭州市,13,宁波市,8,温州市,31,湖州市,1,嘉兴市,4,绍兴市,6,金华市,5,衢州市,2,舟山市,1,台州市,8,丽水市,1,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,杭州市,22,宁波市,12,温州市,49,湖州市,1,嘉兴市,1,绍兴市,5,金华市,9,衢州市,3,舟山市,5,台州市,17,丽水市,3,
累计追踪密切接触者,25936,解除医学观察,9305,正在接受医学观察,14526,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1657928806788248370&wfr=spider&for=pc,,,,,,,,,
原始数据链接2,,,,,,,,,,
