时间,2月7日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,24953,重症,4188,危重,1007,死亡,699,出院,1115,
确诊病例中,武汉市,13603,孝感市,2313,黄冈市,2041,随州市,953,荆州市,941,襄阳市,907,黄石市,703,宜昌市,633,荆门市,588,鄂州市,569,咸宁市,476,十堰市,438,仙桃市,359,天门市,179,恩施州,160,潜江市,80,神农架林区,10
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,武汉市,545,黄石市,2,襄阳市,5,宜昌市,8,荆州市,11,荆门市,18,鄂州市,20,孝感市,26,黄冈市,36,咸宁市,2,随州市,9,仙桃市,5,天门市,10,潜江市,2
出院病例中,
累计追踪密切接触者,114044,解除医学观察,-1,正在接受医学观察,67802,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://news.youth.cn/gn/202002/t20200208_12188765.htm,,,,,,,,
原始数据链接2,,,,,,,,,,
