时间,2月3日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,13522,重症,1567,危重,576,死亡,414,出院,396,
确诊病例中,武汉市,6384,黄石市,405,十堰市,291,襄阳市,632,宜昌市,452,荆州市,613,荆门市,400,鄂州市,332,孝感市,1120,黄冈市,1422,咸宁市,348,随州市,641,恩施州,123,仙桃市,188,天门市,117,潜江市,40,神农架林区,10,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,武汉市,313,黄石市,2,襄阳市,1,宜昌市,3,荆州市,7,荆门市,14,鄂州市,18,孝感市,17,黄冈市,19,随州市,6,仙桃市,3,天门市,10,潜江市,1
出院病例中,
累计追踪密切接触者,68988,解除医学观察,-1,正在接受医学观察,58544,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200204_2018742.shtml,,,,,,,,,
原始数据链接2,,,,,,,,,,
