时间,2月3日,,,,,,,,,,,,,,,,,,,,,
省份,黑龙江省,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,155,重症,17,危重,-1,死亡,2,出院,2,,,,,,,,,,,,,
确诊病例中,哈尔滨市,63,齐齐哈尔市,6,牡丹江市,8,佳木斯市,11,大庆市,11,鸡西市,9,双鸭山市,12,七台河市,8,鹤岗市,2,黑河市,1,绥化市,22,大兴安岭地区,2,
重症病例中,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,绥化市,2,,,,,,,,,,,,,,,,,,,,
出院病例中,哈尔滨市,2,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,4926,解除医学观察,1627,正在接受医学观察,3094,疑似病例,178,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7756/navid/42/stypeid/,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,



