时间,2月3日,,,,,,,,,
省份,浙江省,,,,,,,,,
累计确诊病例,829,重症,58,危重,15,死亡,0,出院,48,
确诊病例中,杭州市,132,宁波市,102,温州市,340,湖州市,9,嘉兴市,23,绍兴市,30,金华市,40,衢州市,15,舟山市,7,台州市,115,丽水市,16,
重症病例中,杭州市,8,宁波市,7,温州市,20,嘉兴市,2,绍兴市,7,金华市,3,衢州市,2,舟山市,1,台州市,6,丽水市,2,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,杭州市,6,宁波市,1,温州市,17,湖州市,1,绍兴市,3,金华市,6,舟山市,2,台州市,11,丽水市,1,
累计追踪密切接触者,14294,解除医学观察,2557,正在接受医学观察,11423,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://www.blueskyinfo.com.cn/wjwApp/webinfo/infoDetail.do?infoIds=E3BE035E1EEA087FC952B932BF6EAAAF4AC41AB27601201DDB946287903386BD05E002896F7DBBF8,,,,,,,,,
原始数据链接2,,,,,,,,,,
