时间,2月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,593,重症,73,危重,51,死亡,0,出院,22,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,148,衡阳市,35,株洲市,34,湘潭市,21,邵阳市,55,岳阳市,83,常德市,50,张家界市,3,益阳市,35,郴州市,22,永州市,26,怀化市,35,娄底市,40,湘西自治州,6
重症病例中,长沙市,17,衡阳市,2,株洲市,2,湘潭市,3,邵阳市,8,岳阳市,2,常德市,3,益阳市,5,永州市,1,怀化市,6,娄底市,1,湘西自治州,1,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,长沙市,2,衡阳市,4,株洲市,1,湘潭市,3,邵阳市,1,益阳市,1,郴州市,1,永州市,5,怀化市,1,娄底市,2,湘西自治州,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,13101,解除医学观察,3170,正在接受医学观察,9931,疑似病例,-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200204_11169184.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
