时间,1月31日,,,,,,,,,,,,,,,,,,,,,
省份,河北,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,96,重症,8,危重,0,死亡,1,出院,0,,,,,,,,,,,,,
确诊病例中,沧州市,19,石家庄市,12,廊坊市,11,保定市,11,张家口市,8,邯郸市,10,邢台市,10,衡水市,4,唐山市,8,承德市,2,秦皇岛,1
重症病例中,沧州市,2,石家庄市,2,邯郸市,1,衡水市,1,张家口市,1,承德,1,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,沧州市,1,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,2354,解除医学观察,52,正在接受医学观察,2045,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://www.hebwsjs.gov.cn/index.do?id=396087&templet=content&cid=14,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,
