时间,1月31日,,,,,,,,,,,,,,,
省份,广西,,,,,,,,,,,,,,,
累计确诊病例,100,重症,7,危重,3,死亡,0,出院,2,,,,,,,
确诊病例中,南宁市,16,柳州市,12,桂林市,21,梧州市,5,北海市,23,防城港市,8,钦州,1,玉林市,5,百色市,2,河池市,6,贺州市,1
重症病例中,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,
出院病例中,梧州市,1,防城港市,1
累计追踪密切接触者,3487,解除医学观察,0,正在接受医学观察,2700,疑似病例,0,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
原始数据链接1,http://www.ggnews.com.cn/index.php?m=show&id=25199,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
备注：,,,,,,,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，加粗的内容不可删除,,,,,,,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,,,,,,,
