时间,2月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,河南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,1073,重症,63,危重,31,死亡,6,出院,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,信阳市,220,南阳市,134,郑州市,130,驻马店市,123,商丘市,83,周口市,65,平顶山市,52,新乡市,46,安阳市,45,许昌市,31,漯河市,30,洛阳市,27,焦作市,25,开封市,24,鹤壁市,17,濮阳市,10,三门峡市,7,济源示范区,4
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,24627,解除医学观察,3890,正在接受医学观察,10199,疑似病例,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://society.people.com.cn/n1/2020/0209/c1008-31577837.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
