时间,2月9日,,,,,,,,,
省份,江苏省,,,,,,,,,
累计确诊病例,492,重症,5,危重,3,死亡,0,出院,72,
确诊病例中,南京市,78,无锡市,41,徐州市,60,常州市,31,苏州市,77,南通市,33,连云港市,35,淮安市,46,盐城市,18,扬州市,18,镇江市,12,泰州市,31,宿迁市,12
重症病例中,南京市,1,徐州市,1,苏州市,1,南通市,1,盐城市,1,,,,,,,,
危重病例中,徐州市,1,连云港市,1,淮安市,1,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,南京市,22,无锡市,3,徐州市,8,常州市,6,苏州市,11,南通市,2,连云港市,4,淮安市,5,盐城市,3,扬州市,2,镇江市,1,泰州市,5
累计追踪密切接触者,10296,解除医学观察,5070,正在接受医学观察,5226,疑似病例,-1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://henan.china.com.cn/news/2020-02/10/content_41053027.htm,,,,,,,,,
原始数据链接2,,,,,,,,,,
