时间,2月9日,,,,,,,,,
省份,浙江省,,,,,,,,,
累计确诊病例,1092,重症,80,危重,24,死亡,0,出院,201,
确诊病例中,杭州市,155,宁波市,149,温州市,464,湖州市,10,嘉兴市,40,绍兴市,41,金华市,53,衢州市,15,舟山市,7,台州市,141,丽水市,17,
重症病例中,杭州市,15,宁波市,9,温州市,28,湖州市,1,嘉兴市,6,绍兴市,5,金华市,5,舟山市,1,台州市,9,丽水市,1,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,杭州市,41,宁波市,15,温州市,78,湖州市,1,嘉兴市,3,绍兴市,8,金华市,15,衢州市,3,舟山市,5,台州市,25,丽水市,5,
累计追踪密切接触者,30795,解除医学观察,14296,正在接受医学观察,13293,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://baijiahao.baidu.com/s?id=1658110209475430136&wfr=spider&for=pc,,,,,,,,,
原始数据链接2,,,,,,,,,,
