时间,2月9日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,29631,重症,4269,危重,1236,死亡,871,出院,1795,
确诊病例中,武汉市,16902,孝感市,2541,黄冈市,2252,随州市,1049,荆州市,1045,襄阳市,1019,黄石市,805,宜昌市,749,鄂州市,725,荆门市,641,咸宁市,507,十堰市,481,仙桃市,416,天门市,217,恩施州,187,潜江市,85,神农架林区,10
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,天门市,10,武汉市,681,鄂州市,24,荆门市,20,潜江市,2,黄冈市,45,仙桃市,7,荆州市,15,孝感市,33,宜昌市,8,随州市,10,襄阳市,9,咸宁市,4,黄石市,3,
出院病例中,
累计追踪密切接触者,132555,解除医学观察,-1,正在接受医学观察,73127,疑似病例,18438,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://society.people.com.cn/n1/2020/0209/c1008-31577698.html,,,,,,,,
原始数据链接2,,,,,,,,,,
