时间,2月9日,,,,,,,,,,,,,,,
省份,广东省,,,,,,,,,,,,,,,
累计确诊病例,1151,重症,101,危重,40,死亡,1,出院,143,,,,,,,
确诊病例中,深圳市,368,广州市,313,珠海市,85,佛山市,68,东莞市,60,中山市,56,惠州市,50,汕头市,25,湛江市,21,江门市,19,肇庆市,14,阳江市,13,梅州市,13,清远市,10,茂名市,10,揭阳市,7,韶关市,6,汕尾市,5,潮州市,5,河源市,3,,,,
重症病例中,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,
累计追踪密切接触者,-1,解除医学观察,-1,正在接受医学观察,3158,疑似病例,195,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
原始数据链接1,http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2887898.html,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
备注：,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，重症、危重、死亡、出院等没有详情的数据时该行不可删除,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,
5. 各自治区、特区用简称代替全称，包括：新疆、西藏、内蒙古、宁夏、广西、香港、澳门,,,,,,,,,,
6. 2020-02-01起，对于没有找到的第3、9行数据，用-1代替空格，包括：重症、危重、死亡、出院、密切接触者、解除医学观察、正在观察、疑似病例人数,,,,,,,,,,
