时间,2月9日,,,,,,,,,
省份,山东省,,,,,,,,,
累计确诊病例,459,重症,23,危重,6,死亡,1,出院,63,
确诊病例中,济南市,44,青岛市,52,淄博市,16,枣庄市,21,烟台市,39,潍坊市,37,济宁市,39,泰安市,26,威海市,35,日照市,15,临沂市,42,德州市,32,聊城市,34,滨州市,11,菏泽市,16,
重症病例中,济南市,1,青岛市,3,临淄市,2,枣庄市,1,烟台市,2,潍坊市,1,济宁市,1,威海市,2,临沂市,6,德州市,4,
危重病例中,枣庄市,1,泰安市,1,临沂市,1,德州市,2,菏泽市,1,
死亡病例中,青岛市,1,,,,,,,,
出院病例中,济南市,7,青岛市,10,淄博市,1,枣庄市,1,烟台市,3,潍坊市,1,济宁市,8,泰安市,1,威海市,8,日照市,2,临沂市,6,德州市,4,聊城市,2,滨州市,4,菏泽市,5,
累计追踪密切接触者,12629,解除医学观察,8544,正在接受医学观察,3856,疑似病例,75,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200210_2517676.html,,,,,,,,,
原始数据链接2,,,,,,,,,,
