时间,2月10日,,,,,,,,,
省份,浙江省,,,,,,,,,
累计确诊病例,1117,重症,87,危重,30,死亡,0,出院,250,
确诊病例中,杭州市,157,宁波市,151,温州市,474,湖州市,10,嘉兴市,40,绍兴市,41,金华市,53,衢州市,21,舟山市,10,台州市,143,丽水市,17,
重症病例中,杭州市,16,宁波市,11,温州市,31,湖州市,1,嘉兴市,6,绍兴市,7,金华市,4,舟山市,1,台州市,9,丽水市,1,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,杭州市,47,宁波市,18,温州市,99,湖州市,3,嘉兴市,5,绍兴市,12,金华市,16,衢州市,5,舟山市,5,台州市,35,丽水市,5,
累计追踪密切接触者,32550,解除医学观察,16415,正在接受医学观察,12624,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://news.sina.com.cn/o/2020-02-11/doc-iimxyqvz1882555.shtml,,,,,,,,,
原始数据链接2,,,,,,,,,,
