时间,2月10日,,,,,,,,,
省份,陕西省,,,,,,,,,
累计确诊病例,219,重症,1,危重,1,死亡,0,出院,31,
确诊病例中,西安市,104,宝鸡市,13,咸阳市,17,铜川市,8,渭南市,14,延安市,8,榆林市,3,汉中市,21,安康市,22,商洛市,7,杨凌示范区,1,韩城市,1,
重症病例中,商洛市,1,,,,,,,,
危重病例中,西安市,1,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,西安市,12,安康市,5,宝鸡市,2,咸阳市,2,铜川市,2,商洛市,1,延安市,1,
累计追踪密切接触者,12013,解除医学观察,6200,正在接受医学观察,12013,疑似病例,389,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://sxwjw.shaanxi.gov.cn/art/2020/2/11/art_9_67931.html,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1658015969004648635&wfr=spider&for=pc,,,,,,,,,
原始数据链接3,http://xawjw.xa.gov.cn/gzdt/wjyw/5e412902f99d6577505c4fb3.html,,,,,,,,,
原始数据链接4,http://wjj.ankang.gov.cn/Content-2032112.html,,,,,,,,,
