时间,2月10日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,31728,重症,5046,危重,1298,死亡,974,出院,2222,
确诊病例中,武汉市,18454,孝感市,2642,黄冈市,2332,随州市,1095,荆州市,1075,襄阳市,1063,黄石市,835,鄂州市,790,宜昌市,772,荆门市,656,咸宁市,515,十堰市,505,仙桃市,438,天门市,261,恩施州,195,潜江市,90,神农架林区,10
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,：武汉市,748,天门市,10,潜江市,3,鄂州市,26,荆门市,21,仙桃市,11,黄冈市,52,荆州市,17,孝感市,41,襄阳市,12,随州市,12,恩施州,2,咸宁市,5,黄石市,5,十堰市,1
出院病例中,
累计追踪密切接触者,144279,解除医学观察,-1,正在接受医学观察,76207,疑似病例,16687,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://society.people.com.cn/n1/2020/0209/c1008-31577698.html,,,,,,,,
原始数据链接2,,,,,,,,,,
