时间,2月10日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,417,重症,0,危重,17,死亡,1,出院,82,
确诊病例中,成都市,124,南充市,34,广安市,30,绵阳市,21,内江市,18,自贡市,9,达州市,30,巴中市,22,攀枝花市,13,德阳市,16,宜宾市,9,泸州市,18,遂宁市,10,雅安市,6,甘孜州,27,凉山州,10,广元市,6,乐山市,3,眉山市,7,资阳市,3,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,成都市,30,绵阳市,4,广安市,3,泸州市,2,遂宁市,2,广元市,1,宜宾市,3,南充市,2,达州市,5,眉山市,1,自贡市,2,攀枝花市,5,内江市,2,雅安市,2,巴中市,1,甘孜州,2,资阳市,1,凉山州,1,
累计追踪密切接触者,6104,解除医学观察,6720,正在接受医学观察,6104,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://www.sc.gov.cn/10462/12771/2020/2/11/1f1fead1108648cbb807f3d7cc1c6a9c.shtml,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1657508842790022068&wfr=spider&for=pc,,,,,,,,,
