时间,2月10日,,,,,,,,,
省份,山东省,,,,,,,,,
累计确诊病例,486,重症,18,危重,9,死亡,1,出院,71,
确诊病例中,济南市,46,青岛市,53,淄博市,19,枣庄市,23,烟台市,41,潍坊市,38,济宁市,41,泰安市,32,威海市,37,日照市,15,临沂市,44,德州市,32,聊城市,37,滨州市,11,菏泽市,17,
重症病例中,济南市,1,青岛市,2,临淄市,2,枣庄市,1,烟台市,3,潍坊市,1,济宁市,1,威海市,2,临沂市,2,德州市,3,
危重病例中,淄博市,1,枣庄市,1,泰安市,1,临沂市,3,德州市,3,菏泽市,0,
死亡病例中,青岛市,1,,,,,,,,
出院病例中,济南市,7,青岛市,11,淄博市,1,枣庄市,1,烟台市,3,潍坊市,1,济宁市,8,泰安市,1,威海市,8,日照市,2,临沂市,9,德州市,6,聊城市,2,滨州市,5,菏泽市,6,
累计追踪密切接触者,13119,解除医学观察,9410,正在接受医学观察,3468,疑似病例,66,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.shandong.gov.cn/ztzl/rdzt/qlzhfkgz/tzgg/202002/t20200211_2518566.html,,,,,,,,,
原始数据链接2,,,,,,,,,,
