时间,2月10日,,,,,,,,,
省份,安徽省,,,,,,,,,
累计确诊病例,860,重症,-1,危重,6,死亡,4,出院,88,
确诊病例中,合肥,150,淮北,24,亳州,92,宿州,33,蚌埠,134,阜阳,132,淮南,24,滁州,12,六安,59,马鞍山,32,芜湖,31,宣城,6,铜陵,27,池州,15,安庆,80,黄山,9
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,蚌埠,1,合肥,1,,,,,,
出院病例中,
累计追踪密切接触者,18667,解除医学观察,-1,正在接受医学观察,-1,疑似病例,-1,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wjw.ah.gov.cn/news_details_54805.html,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
备注：,,,,,,,,,,
1. 把实际的数值填入到？的地方，没有相关的数据填0,,,,,,,,,,
2. 有些省市描述外地来访的确诊病例，使用“其他区”代替,,,,,,,,,,
3. 第4、5、6、7、8、9行的数据没有的情况下，不填相应的数据，重症、危重、死亡、出院等没有详情的数据时该行不可删除,,,,,,,,,,
4. 把原文链接放到第15行起，有多个链接放多行,,,,,,,,,,
5. 各自治区、特区用简称代替全称，包括：新疆、西藏、内蒙古、宁夏、广西、香港、澳门,,,,,,,,,,
6. 2020-02-01起，对于没有找到的第3、9行数据，用-1代替空格，包括：重症、危重、死亡、出院、密切接触者、解除医学观察、正在观察、疑似病例人数,,,,,,,,,,
