时间,2月10日,,,,,,,,,
省份,天津市,,,,,,,,,
累计确诊病例,95,重症,27,危重,5,死亡,2,出院,8,
确诊病例中,河北区,10,河东区,11,河西区,4,和平区,6,南开区,3,宝坻区,35,东丽区,4,西青区,4,红桥区,2,滨海新区,3,宁河区,4,津南区,1,武清区,1,北辰区,1,其他区,6,
重症病例中,宝坻区,1,河东区,1,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,宝坻区,1,河东区,1,,,,,,
出院病例中,红桥区,1,河东区,2,河北区,2,和平区,1,河西区,1,其他区,1,,
累计追踪密切接触者,812,解除医学观察,247,正在接受医学观察,538,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70430.html,,,,,,,,,
原始数据链接2,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70431.html,,,,,,,,,
原始数据链接3,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70435.html,,,,,,,,,
原始数据链接4,http://news.enorth.com.cn/system/2020/02/11/037988220.shtml,,,,,,,,,
原始数据链接5,http://wsjk.tj.gov.cn/art/2020/2/11/art_87_70737.html,,,,,,,,,

