时间,2月15日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,481,重症,0,危重,15,死亡,3,出院,127,
确诊病例中,成都市,140,南充市,35,广安市,30,绵阳市,22,内江市,22,自贡市,9,达州市,36,巴中市,24,攀枝花市,13,德阳市,17,宜宾市,11,泸州市,19,遂宁市,12,雅安市,7,甘孜州,50,凉山州,13,广元市,6,乐山市,3,眉山市,8,资阳市,3,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,3,,,,,,,,
出院病例中,成都市,49,绵阳市,6,广安市,10,泸州市,2,遂宁市,4,广元市,2,宜宾市,6,南充市,9,达州市,5,眉山市,2,自贡市,2,攀枝花市,10,内江市,5,雅安市,2,乐山市,2,巴中市,1,甘孜州,3,资阳市,2,凉山州,5,
累计追踪密切接触者,4035,解除医学观察,12625,正在接受医学观察,4035,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,https://new.qq.com/omn/20200216/20200216A08N5E00.html,,,,,,,,,
原始数据链接2,http://wsjkw.sc.gov.cn/scwsjkw/gzbd01/2020/2/16/410c4f700cf6439c9d20fa48bb3e6683.shtml,,,,,,,,,
