时间,2月15日,,,,,,,,,
省份,上海市,,,,,,,,,
累计确诊病例,328,重症,4,危重,13,死亡,1,出院,124,
确诊病例中,其他区,109,浦东,57,静安区,16,闵行区,18,长宁区,13,黄浦区,6,徐汇区,18,虹口区,7,宝山区,21,奉贤区,9,松江区,14,普陀区,11,杨浦区,9,嘉定区,9,青浦区,5,金山区,3,崇明县,3,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,其他区,35,浦东区,27,静安区,7,徐汇区,4,闵行区,7,长宁区,6,奉贤区,1,虹口区,3,宝山区,5,松江区,2,嘉定区,2,普陀区,2,黄浦区,2,杨浦区,1,青浦区,4,金山区,2,
累计追踪密切接触者,-1,解除医学观察,1660,正在接受医学观察,0,疑似病例,142,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sh.gov.cn/xwfb/20200216/bc828ec964b643f4acff985a8e5a376f.html,,,,,,,,,
原始数据链接2,,,,,,,,,,

