时间,2月5日,,,,,,,,,
省份,湖北省,,,,,,,,,
累计确诊病例,19665,重症,2328,危重,756,死亡,549,出院,633,
确诊病例中,武汉市,10117,孝感市,1886,黄冈市,1807,随州市,834,荆州市,801,襄阳市,787,黄石市,566,宜昌市,563,荆门市,508,鄂州市,423,咸宁市,399,十堰市,353,仙桃市,265,恩施州,144,天门市,138,潜江市,64,神农架林区,10,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,武汉市,414,黄石市,2,襄阳市,2,宜昌市,6,荆州市,10,荆门市,17,鄂州市,18,孝感市,25,黄冈市,29,咸宁市,1,随州市,9,仙桃市,5,天门市,10,潜江市,1,
出院病例中,
累计追踪密切接触者,90997,解除医学观察,-1,正在接受医学观察,64127,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200206_2019847.shtml,,,,,,,,
原始数据链接2,,,,,,,,,,
