时间,2月5日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,321,重症,0,危重,18,死亡,1,出院,27,
确诊病例中,成都市,97,南充市,29,广安市,24,绵阳市,18,内江市,16,自贡市,9,达州市,20,巴中市,19,攀枝花市,11,德阳市,12,宜宾市,8,泸州市,12,遂宁市,5,雅安市,6,甘孜州,12,凉山州,7,广元市,6,乐山市,2,眉山市,5,资阳市,2,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,成都市,8,绵阳市,2,广安市,1,遂宁市,1,达州市,1,眉山市,1,,,,,
累计追踪密切接触者,6393,解除医学观察,1446,正在接受医学观察,6393,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2020/2/6/d6da4fae184e4b64a1bcdec9eca51035.shtml,,,,,,,,,
原始数据链接2,https://baijiahao.baidu.com/s?id=1657508842790022068&wfr=spider&for=pc,,,,,,,,,
