时间,2月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,河南省,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,851,重症,38,危重,24,死亡,2,出院,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
确诊病例中,郑州市,102,开封市,18,洛阳市,21,平顶山市,41,安阳市,37,鹤壁市,10,新乡市,41,焦作市,17,濮阳市,5,许昌市,26,漯河市,26,三门峡市,7,南阳市,111,商丘市,65,信阳市,164,周口市,59,驻马店市,98,济源示范区,3,
重症病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计追踪密切接触者,17467,解除医学观察,2415,正在接受医学观察,9950,疑似病例,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://www.mnw.cn/news/shehui/2247204.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
