时间,2月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,
省份,湖南省,,,,,,,,,,,,,,,,,,,,,,,,,,,
累计确诊病例,711,重症,93,危重,61,死亡,0,出院,56,,,,,,,,,,,,,,,,,,,
确诊病例中,长沙市,179,衡阳市,43,株洲市,41,湘潭市,24,邵阳市,74,岳阳市,93,常德市,62,张家界市,3,益阳市,41,郴州市,25,永州市,32,怀化市,36,娄底市,51,湘西自治州,7,
重症病例中,长沙市,21,衡阳市,2,株洲市,2,湘潭市,2,邵阳市,10,岳阳市,2,常德市,5,益阳市,5,永州市,2,怀化市,4,娄底市,5,湘西自治州,1,
危重病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
死亡病例中,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出院病例中,长沙市,8,衡阳市,5,株洲市,2,湘潭市,5,邵阳市,3,岳阳市,2,常德市,3,张家界市,2,益阳市,6,郴州市,2,永州市,8,怀化市,6,娄底市,3,湘西自治州,1,
累计追踪密切接触者,17020,解除医学观察,7008,正在接受医学观察,10012,疑似病例,-1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接1,http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200206_11171582.html,,,,,,,,,,,,,,,,,,,,,,,,,,,
原始数据链接2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
