时间,2月2日,,,,,,,,,
省份,天津市,,,,,,,,,
累计确诊病例,48,重症,15,危重,3,死亡,0,出院,1,
确诊病例中,河北区,9,河东区,9,河西区,3,和平区,4,南开区,2,宝坻区,5,东丽区,3,西青区,2,红桥区,2,滨海新区,2,宁河区,3,其他区,4,
重症病例中,宝坻区,1,河东区,1,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,,,,,,,,,,
出院病例中,红桥区,1,,,,,,,,
累计追踪密切接触者,301,解除医学观察,13,正在接受医学观察,276,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70430.html,,,,,,,,,
原始数据链接2,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70431.html,,,,,,,,,
原始数据链接3,http://wsjk.tj.gov.cn/art/2020/2/2/art_14_70435.html,,,,,,,,,
原始数据链接4,http://wsjk.tj.gov.cn/art/2020/2/3/art_87_70455.html,,,,,,,,,

