时间,2月2日,,,,,,,,,
省份,四川省,,,,,,,,,
累计确诊病例,254,重症,0,危重,9,死亡,1,出院,12,
确诊病例中,成都市,77,南充市,26,广安市,21,绵阳市,17,内江市,12,自贡市,9,达州市,11,巴中市,12,攀枝花市,10,德阳市,10,宜宾市,7,泸州市,1,遂宁市,5,雅安市,5,甘孜州,6,凉山州,6,广元市,5,乐山市,2,眉山市,3,资阳市,2,阿坝州,1,
重症病例中,,,,,,,,,,
危重病例中,,,,,,,,,,
死亡病例中,成都市,1,,,,,,,,
出院病例中,,,,,,,,,,,
累计追踪密切接触者,6623,解除医学观察,622,正在接受医学观察,6001,疑似病例,-1,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
原始数据链接1,http://wsjkw.sc.gov.cn/scwsjkw/gggs/2020/2/3/d38b4991e8fe4cd494a2f41aabc69d8d.shtml,,,,,,,,,
原始数据链接2,,,,,,,,,,
